Date,USOS O2 (kg),RS O2 (kg),US N2 (kg),RS N2 (kg),Adjusted O2 (kg),Adjusted N2 (kg),Resupply O2 (kg),Resupply N2 (kg),Resupply Air (kg)
1/2/2022,175.57,10.75,163.76,45.25,231.14,470.97,,,
1/9/2022,175.57,10.75,163.76,45.25,231.14,470.97,,,
1/16/2022,175.57,7.03,163.76,34.08,227.42,459.8,,,
1/23/2022,175.57,6.88,160.96,33.63,227.27,456.55,,,
1/30/2022,172.59,6.88,158.35,33.63,224.29,453.94,,,
2/6/2022,172.59,6.88,158.35,33.63,224.29,453.94,,,
2/13/2022,172.59,5,158.35,28,222.41,448.31,,,
2/20/2022,172.59,2.39,158.35,73.46,219.8,440.47,,53.3,
2/27/2022,248.29,0,158.35,66.3,293.11,433.31,,,
3/6/2022,247.09,0,158.35,66.3,291.91,433.31,,,
3/13/2022,247.09,0,158.35,66.3,291.91,433.31,,,
3/20/2022,240.63,0,158.35,66.3,285.45,433.31,,,
3/27/2022,234.55,0,158.35,66.3,279.37,433.31,,,
4/3/2022,230.36,0,157.2,66.3,275.18,432.16,,,
4/10/2022,230.36,0,157.2,51.9,275.18,417.76,,,
4/17/2022,230.36,0,157.2,37.2,275.18,403.06,,,
4/24/2022,230.36,0,157.2,37.2,275.18,403.06,,,
5/1/2022,229.26,0,145.6,37.2,274.08,391.46,,,
5/8/2022,229.26,0,145.6,37.2,274.08,391.46,,,
5/15/2022,228.04,0,145.6,37.2,272.86,391.46,,,
5/22/2022,228.04,0,145.6,37.2,272.86,391.46,,,
5/29/2022,227.94,0,145.6,30.2,272.76,384.46,,,
6/5/2022,224.57,0,141.92,30.9,269.39,381.48,,,
6/12/2022,216.73,0,141.92,84.33,261.55,434.91,,,
6/19/2022,216.73,0,141.92,84.33,261.55,434.91,,,
6/26/2022,215.59,0,141.32,84.33,260.41,434.31,,,
7/3/2022,215.59,0,141.32,84.33,260.41,434.31,,,
7/10/2022,215.59,0,141.32,84.33,260.41,434.31,,,
7/17/2022,215.59,0,141.32,68.23,260.41,418.21,,,
7/24/2022,215.59,0,141.32,55.23,260.41,405.21,,,
7/31/2022,215.59,0,141.32,42.93,260.41,392.91,,,
8/7/2022,211.99,0,138,39.93,256.81,386.59,,,
8/14/2022,211.99,0,138,39.93,256.81,386.59,,,
8/21/2022,211.99,0,138,39.93,256.81,386.59,,,
8/28/2022,214.3,0,137.5,39.93,259.12,386.09,,,
9/4/2022,213.89,0,137.5,39.93,258.71,386.09,,,
9/11/2022,213.89,0,137.5,31.93,258.71,378.09,,,
9/18/2022,213.89,0,137.5,27.86,258.71,374.02,,,
9/25/2022,213.89,0,137.5,27.86,258.71,374.02,,,
10/2/2022,211.2,0,135,27.86,256.02,371.52,,,
10/9/2022,211.2,0,135,27.86,256.02,371.52,,,
10/16/2022,211.2,0,135,27.86,256.02,371.52,,,
10/23/2022,211.2,0,135,26.06,256.02,369.72,,,
10/30/2022,210.71,0,135,79.56,255.53,369.72,,53.5,
11/6/2022,211.4,0,133.92,79.56,256.22,368.64,,,
11/13/2022,249.13,44.82,133.92,110.32,293.95,350.64,38.1,28.6,26.88
11/20/2022,245.88,44.82,133.92,110.32,290.7,350.64,,,
11/27/2022,237.58,44.82,131.6,110.32,282.4,348.32,,,
12/4/2022,232.08,0,131.6,61.56,232.08,299.56,,,
12/11/2022,231.17,0,131.6,53.06,231.17,291.06,,,
12/18/2022,220.43,0,131.6,39.06,220.43,277.06,,,
12/25/2022,214.23,0,131.6,39.06,214.23,277.06,,,
1/1/2023,210.76,0,131.35,39.06,210.76,276.81,,,
1/8/2023,210.76,0,131.35,39.06,210.76,276.81,,,
1/15/2023,210.12,0,130.95,39.06,210.12,276.41,,,
1/22/2023,202.71,0,130.95,25.95,202.71,263.3,,,
1/29/2023,202.71,0,130.95,13,202.71,250.35,,,
2/5/2023,195.59,0,130.95,13,195.59,250.35,,,
2/12/2023,195.59,0,130.95,66.3,195.59,250.35,,53.3,
2/19/2023,195.59,0,130.95,53.3,195.59,237.35,,,
2/26/2023,195.59,0,130.95,53.3,195.59,237.35,,,
3/5/2023,193.77,0,127.69,53.3,193.77,234.09,,,
3/12/2023,193.77,0,127.69,53.3,193.77,234.09,,,
3/19/2023,193.77,0,127.69,53.3,193.77,234.09,,,
3/26/2023,193.77,0,127.69,53.3,193.77,234.09,,,
4/2/2023,186.51,0,124.88,53.3,186.51,231.28,,,
4/9/2023,186.51,0,124.88,53.3,186.51,231.28,,,
4/16/2023,186.15,0,124.88,53.3,186.15,231.28,,,
4/23/2023,185.55,0,124.88,53.3,185.55,231.28,,,
4/30/2023,180.81,0,123.98,31,180.81,208.08,,,
5/7/2023,179.89,0,123.98,31,179.89,208.08,,,
5/14/2023,178.69,0,123.98,31,178.69,208.08,,,
5/21/2023,178.69,0,123.98,19.7,178.69,196.78,,,
5/28/2023,178.69,0,123.98,66.1,178.69,190.08,,53.1,
6/4/2023,176.52,0,121.39,53.1,176.52,174.49,,,
6/11/2023,208.54,0,121.39,53.1,208.54,174.49,,,
6/18/2023,202.46,0,121.39,53.1,202.46,174.49,,,
6/25/2023,202.63,0,121.16,40.07,202.63,161.23,,,
7/2/2023,201.86,0,121.16,40.07,201.86,161.23,,,
7/9/2023,201.86,0,121.16,30.8,201.86,151.96,,,
7/16/2023,201.86,0,121.16,30.8,201.86,151.96,,,
7/23/2023,201.86,0,121.16,30.8,201.86,151.96,,,
7/30/2023,199.89,0,121.16,30.8,199.89,151.96,,,
8/6/2023,236.12,0,147.5,15.6,236.12,163.1,,,
8/13/2023,232.05,0,147.5,13,232.05,160.5,,,
8/20/2023,233.77,0,147.5,13,233.77,160.5,,,
8/27/2023,231.28,0,146.48,0,231.28,146.48,,,
9/3/2023,230.57,0,146.48,53.5,230.57,199.98,,,
